read_uid	y_sim	anomaly_score	iso_label
NC_039553.1_82_657_7:0:0_6:0:0_d05/F	0	0.45310131758096817	1
NC_039553.1_89_578_7:0:0_6:0:0_18cf/F	0	0.42668579524506417	1
NC_039553.1_90_584_5:0:0_3:0:0_21b3/F	0	0.48795625866312525	1
NC_039553.1_92_583_5:0:0_12:0:0_1ff2/F	0	0.49375609605435555	1
NC_039553.1_97_517_6:0:0_4:0:0_1732/F	0	0.4240514827404548	1
NC_039553.1_100_698_3:0:0_10:0:0_8a7/F	0	0.42592437303487957	1
NC_039553.1_100_622_7:0:0_6:0:0_12db/F	0	0.4331730030475791	1
NC_039553.1_100_546_11:0:0_5:0:0_1db9/F	0	0.4330083265266613	1
NC_039553.1_101_634_7:0:0_6:0:0_bd5/F	0	0.4248732068639057	1
NC_039553.1_101_638_10:0:0_10:0:0_1ebf/F	0	0.42241849755694355	1
NC_039553.1_104_623_5:0:0_5:0:0_1bb1/F	0	0.49516508906363094	1
NC_039553.1_105_616_7:0:0_9:0:0_1718/F	0	0.44124305267801656	1
NC_039553.1_106_546_8:0:0_3:0:0_241a/F	0	0.4298128252688512	1
NC_039553.1_107_578_7:0:0_8:0:0_35b/F	0	0.42231123306609974	1
NC_039553.1_109_569_11:0:0_4:0:0_7ae/F	0	0.4291494595711395	1
NC_039553.1_111_587_6:0:0_6:0:0_f08/F	0	0.4291494595711395	1
NC_039553.1_113_641_8:0:0_6:0:0_ba3/F	0	0.421659445196347	1
NC_039553.1_117_618_6:0:0_5:0:0_966/F	0	0.42135042036763026	1
NC_039553.1_118_678_9:0:0_5:0:0_1352/F	0	0.4291494595711395	1
NC_039553.1_121_636_7:0:0_3:0:0_1e68/F	0	0.42328913239080224	1
NC_039553.1_121_618_8:0:0_6:0:0_2555/F	0	0.42076811768909517	1
NC_039553.1_122_686_5:0:0_9:0:0_3b0/F	0	0.42855637868710444	1
NC_039553.1_123_726_11:0:0_4:0:0_1b74/F	0	0.5782896190805201	1
NC_039553.1_125_709_11:0:0_7:0:0_ab7/F	0	0.47954799220552796	1
