dataset	threshold_group	k	cov_max_cnn	cov_max_gb	cov_mean_cnn	cov_mean_gb	cov_median_cnn	cov_median_gb	edges_cnn	edges_gb	longest_cnn	longest_gb	n50_cnn	n50_gb	n90_cnn	n90_gb	n_contigs_cnn	n_contigs_gb	nodes_cnn	nodes_gb	total_len_cnn	total_len_gb	cov_max_unfiltered	cov_mean_unfiltered	cov_median_unfiltered	edges_unfiltered	longest_unfiltered	n50_unfiltered	n90_unfiltered	n_contigs_unfiltered	nodes_unfiltered	total_len_unfiltered	k_unfiltered	delta_nodes_cnn	delta_edges_cnn	delta_n_contigs_cnn	delta_n50_cnn	delta_total_len_cnn	delta_cov_mean_cnn	delta_nodes_gb	delta_edges_gb	delta_n_contigs_gb	delta_n50_gb	delta_total_len_gb	delta_cov_mean_gb
3200_lemuru10	0.5	115	6.742672	12.074725	6.742672	12.074725	6.742672	12.074725	0.0	0.0	16662.0	16669.0	16662.0	16669.0	16662.0	16669.0	1.0	1.0	1.0	1.0	16662.0	16669.0	12.606137	12.606137	12.606137	0.0	16669.0	16669.0	16669.0	1.0	1.0	16669.0		0.0	0.0	0.0	-7.0	-7.0	-5.863465000000001	0.0	0.0	0.0	0.0	0.0	-0.5314119999999996
3200_lemuru10	0.5	127	4.184215	7.857816	4.184215	7.857816	4.184215	7.857816	0.0	0.0	16662.0	16669.0	16662.0	16669.0	16662.0	16669.0	1.0	1.0	1.0	1.0	16662.0	16669.0	8.219381	8.219381	8.219381	0.0	16669.0	16669.0	16669.0	1.0	1.0	16669.0		0.0	0.0	0.0	-7.0	-7.0	-4.035166	0.0	0.0	0.0	0.0	0.0	-0.3615650000000006
3200_lemuru10	0.7	115	8.151024	12.23813	8.151024	12.23813	8.151024	12.23813	0.0	0.0	16662.0	16669.0	16662.0	16669.0	16662.0	16669.0	1.0	1.0	1.0	1.0	16662.0	16669.0	12.606137	12.606137	12.606137	0.0	16669.0	16669.0	16669.0	1.0	1.0	16669.0		0.0	0.0	0.0	-7.0	-7.0	-4.455113000000001	0.0	0.0	0.0	0.0	0.0	-0.3680070000000004
3200_lemuru10	0.7	127	5.155428	7.977572	5.155428	7.977572	5.155428	7.977572	0.0	0.0	16662.0	16669.0	16662.0	16669.0	16662.0	16669.0	1.0	1.0	1.0	1.0	16662.0	16669.0	8.219381	8.219381	8.219381	0.0	16669.0	16669.0	16669.0	1.0	1.0	16669.0		0.0	0.0	0.0	-7.0	-7.0	-3.0639530000000006	0.0	0.0	0.0	0.0	0.0	-0.24180899999999994
3200_lemuru15	0.3	115	5.772573	11.394437	5.772573	11.394437	5.772573	11.394437	0.0	0.0	16617.0	16617.0	16617.0	16617.0	16617.0	16617.0	1.0	1.0	1.0	1.0	16617.0	16617.0	12.259241	12.259241	12.259241	0.0	16617.0	16617.0	16617.0	1.0	1.0	16617.0		0.0	0.0	0.0	0.0	0.0	-6.486667999999999	0.0	0.0	0.0	0.0	0.0	-0.8648039999999995
3200_lemuru15	0.3	127	3.596725	7.438933	3.596725	7.438933	3.596725	7.438933	0.0	0.0	16617.0	16617.0	16617.0	16617.0	16617.0	16617.0	1.0	1.0	1.0	1.0	16617.0	16617.0	7.986416	7.986416	7.986416	0.0	16617.0	16617.0	16617.0	1.0	1.0	16617.0		0.0	0.0	0.0	0.0	0.0	-4.389691	0.0	0.0	0.0	0.0	0.0	-0.5474830000000006
3200_lemuru15	0.5	115	6.667677	11.943764	6.667677	11.943764	6.667677	11.943764	0.0	0.0	16617.0	16617.0	16617.0	16617.0	16617.0	16617.0	1.0	1.0	1.0	1.0	16617.0	16617.0	12.259241	12.259241	12.259241	0.0	16617.0	16617.0	16617.0	1.0	1.0	16617.0		0.0	0.0	0.0	0.0	0.0	-5.591563999999999	0.0	0.0	0.0	0.0	0.0	-0.31547699999999956
3200_lemuru15	0.5	127	4.191389	7.798969	4.191389	7.798969	4.191389	7.798969	0.0	0.0	16617.0	16617.0	16617.0	16617.0	16617.0	16617.0	1.0	1.0	1.0	1.0	16617.0	16617.0	7.986416	7.986416	7.986416	0.0	16617.0	16617.0	16617.0	1.0	1.0	16617.0		0.0	0.0	0.0	0.0	0.0	-3.795027	0.0	0.0	0.0	0.0	0.0	-0.18744700000000059
3200_lemuru15	0.7	115	7.465216	11.979215	7.465216	11.979215	7.465216	11.979215	0.0	0.0	16617.0	16617.0	16617.0	16617.0	16617.0	16617.0	1.0	1.0	1.0	1.0	16617.0	16617.0	12.259241	12.259241	12.259241	0.0	16617.0	16617.0	16617.0	1.0	1.0	16617.0		0.0	0.0	0.0	0.0	0.0	-4.7940249999999995	0.0	0.0	0.0	0.0	0.0	-0.28002599999999944
3200_lemuru15	0.7	127	4.726258	7.820133	4.726258	7.820133	4.726258	7.820133	0.0	0.0	16617.0	16617.0	16617.0	16617.0	16617.0	16617.0	1.0	1.0	1.0	1.0	16617.0	16617.0	7.986416	7.986416	7.986416	0.0	16617.0	16617.0	16617.0	1.0	1.0	16617.0		0.0	0.0	0.0	0.0	0.0	-3.2601580000000006	0.0	0.0	0.0	0.0	0.0	-0.16628299999999996
