dataset	threshold_group	k	nodes	edges	n_contigs	n50	n90	longest	total_len	cov_mean	cov_median	cov_max	method	nodes_base	edges_base	n50_base	total_len_base	nodes_base_ds	edges_base_ds	n50_base_ds	total_len_base_ds	nodes_base_final	edges_base_final	n50_base_final	total_len_base_final	len_ratio	n50_ratio	frag_penalty	len_penalty	n50_reward	score
10K_lemuru5	0.3	115	1.0	0.0	1.0	16615.0	16615.0	16615.0	16615.0	33.566121	33.566121	33.566121	cnn	2.0	2.0	16754.0	16754.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16754.0	16754.0	0.9917034737972429	0.9917034737972429	0.0	0.008296526202757115	0.9917034737972429	0.9875552106958643
10K_lemuru5	0.3	127	1.0	0.0	1.0	16615.0	16615.0	16615.0	16615.0	22.024321	22.024321	22.024321	cnn	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	0.990993677680962	0.990993677680962	0.0	0.009006322319037974	0.990993677680962	0.986490516521443
10K_lemuru5	0.3	127	1.0	0.0	1.0	16615.0	16615.0	16615.0	16615.0	22.024321	22.024321	22.024321	cnn	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	0.990993677680962	0.990993677680962	0.0	0.009006322319037974	0.990993677680962	0.986490516521443
10K_lemuru5	0.3	127	1.0	0.0	1.0	16615.0	16615.0	16615.0	16615.0	22.024321	22.024321	22.024321	cnn	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	0.990993677680962	0.990993677680962	0.0	0.009006322319037974	0.990993677680962	0.986490516521443
10K_lemuru5	0.5	115	2.0	2.0	1.0	16690.0	16690.0	16690.0	16690.0	34.475173	34.475173	34.475173	cnn	2.0	2.0	16754.0	16754.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16754.0	16754.0	0.9961800167123674	0.9961800167123674	3.0	0.0038199832876325557	0.9961800167123674	-1.255729974931449
10K_lemuru5	0.5	115	2.0	2.0	1.0	16690.0	16690.0	16690.0	16690.0	34.475173	34.475173	34.475173	cnn	2.0	2.0	16754.0	16754.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16754.0	16754.0	0.9961800167123674	0.9961800167123674	3.0	0.0038199832876325557	0.9961800167123674	-1.255729974931449
10K_lemuru5	0.5	115	2.0	2.0	1.0	16690.0	16690.0	16690.0	16690.0	34.475173	34.475173	34.475173	cnn	2.0	2.0	16754.0	16754.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16754.0	16754.0	0.9961800167123674	0.9961800167123674	3.0	0.0038199832876325557	0.9961800167123674	-1.255729974931449
10K_lemuru5	0.5	127	2.0	2.0	1.0	16702.0	16702.0	16702.0	16702.0	22.604103	22.604103	22.604103	cnn	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	0.9961827508051415	0.9961827508051415	3.0	0.0038172491948584852	0.9961827508051415	-1.2557258737922878
10K_lemuru5	0.5	127	2.0	2.0	1.0	16702.0	16702.0	16702.0	16702.0	22.604103	22.604103	22.604103	cnn	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	0.9961827508051415	0.9961827508051415	3.0	0.0038172491948584852	0.9961827508051415	-1.2557258737922878
10K_lemuru5	0.5	127	2.0	2.0	1.0	16702.0	16702.0	16702.0	16702.0	22.604103	22.604103	22.604103	cnn	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	2.0	2.0	16766.0	16766.0	0.9961827508051415	0.9961827508051415	3.0	0.0038172491948584852	0.9961827508051415	-1.2557258737922878
